GLN,Namn,Avdelning,Gatuadress,Postbox,Postnummer och ort,Sökattribut,Id,Leveransplats,string_address,coordinates,latitude,longitude
7381020442708,Administration Funksstöd,,,Nygatan 64,311 74 Falkenberg,,7381020442708,,"Administration Funksstöd, Nygatan 64, 311 74 Falkenberg","(56.8992958, 12.4913029)",56.8992958,12.4913029
7381020442012,Aktivitetscenter,Funktionsstöd,,Murarevägen 43,311 36 Falkenberg,,7381020442012,,"Aktivitetscenter, Murarevägen 43, 311 36 Falkenberg","(56.91159690000001, 12.4975428)",56.91159690000001,12.4975428
7381020441510,Anhörigstöd,,,Nygatan 20,311 74 Falkenberg,,7381020441510,,"Anhörigstöd, Nygatan 20, 311 74 Falkenberg","(56.90627019999999, 12.4935246)",56.90627019999999,12.4935246
7381020442241,Anläggning,,,Kristineslättsallén 5,311 48 Falkenberg,,7381020442241,,"Anläggning, Kristineslättsallén 5, 311 48 Falkenberg","(56.89471769999999, 12.513845)",56.89471769999999,12.513845
7381020440308,Apelskolan,Köket,,Skolvägen 12,310 60 Ullared,,7381020440308,,"Apelskolan, Skolvägen 12, 310 60 Ullared","(57.1364325, 12.7246679)",57.1364325,12.7246679
7381020440100,Apelskolan Elevcafé,,,Skolvägen 12,311 60 Ullared,,7381020440100,,"Apelskolan Elevcafé, Skolvägen 12, 311 60 Ullared","(57.1364325, 12.7246679)",57.1364325,12.7246679
7381020440117,Apelskolan Hemkunskap,,,Skolvägen 12,311 60 Ullared,,7381020440117,,"Apelskolan Hemkunskap, Skolvägen 12, 311 60 Ullared","(57.136457, 12.722213)",57.136457,12.722213
7381020440629,Apelskolan Hemkunskap F-6,,,Skolvägen 12,311 60 Ullared,,7381020440629,,"Apelskolan Hemkunskap F-6, Skolvägen 12, 311 60 Ullared","(57.1364325, 12.7246679)",57.1364325,12.7246679
7381020442746,Arbetsmarknadsavd Ullared,,,Ullared 320,311 60 Ullared,,7381020442746,,"Arbetsmarknadsavd Ullared, Ullared 320, 311 60 Ullared","(57.1318289, 12.7323989)",57.1318289,12.7323989
7381020442722,Arbetsmarknadsavdelningen,,,Kanslistvägen 10,311 39 Falkenberg,,7381020442722,,"Arbetsmarknadsavdelningen, Kanslistvägen 10, 311 39 Falkenberg","(56.915009, 12.4959264)",56.915009,12.4959264
7381020440155,Bad,,,Havsbadsallén,311 42 Falkenberg,,7381020440155,,"Bad, Havsbadsallén, 311 42 Falkenberg","(56.8901075, 12.5000567)",56.8901075,12.5000567
7381020441121,Barn och Utbildning,,,Storgatan 27,311 80 Falkenberg,,7381020441121,,"Barn och Utbildning, Storgatan 27, 311 80 Falkenberg","(56.9043086, 12.4927131)",56.9043086,12.4927131
7381020441633,"Barn, ung o våld  tunga paket",i nära relationer,,Klockaregatan 27 F,311 36 Falkenberg,,7381020441633,,"Barn, ung o våld  tunga paket, Klockaregatan 27 F, 311 36 Falkenberg","(56.9093976, 12.4921227)",56.9093976,12.4921227
7381020441695,"Barn, unga och våld i nära relationer",,,Nygatan 34,311 80 Falkenberg,,7381020441695,,"Barn, unga och våld i nära relationer, Nygatan 34, 311 80 Falkenberg","(56.904749, 12.4917326)",56.904749,12.4917326
